YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
1996,Andhra Pradesh,Nandyal,27,Bhuma Nagi Reddy,Male,Telugu Desam Party,Bicycle,1123437,440150,0.8094,General,707384,Lok Sabha Bypoll (National)
2002,Andhra Pradesh,Amalapuram,9,Ganti Vijaya Kumari,Female,Telugu Desam Party,Bicycle,997557,313660,0.9082,Scheduled Caste,376457,Lok Sabha Bypoll (National)
2006,Andhra Pradesh,Bobbili,3,Jhansi Lakshmi Botcha,Female,Indian National Congress,Hand,1015497,157,0.4752,General,703400,Lok Sabha Bypoll (National)
2006,Andhra Pradesh,Karimnagar,37,K. Chandra Shakher Rao,Male,Telangana Rashtra Samithi,Car,1419685,201582,0.4761,General,793932,Lok Sabha Bypoll (National)
2008,Andhra Pradesh,Karimnagar,37,K. Chandra Shekhar Rao,Male,Telangana Rashtra Samithi,Car,1452946,15765,0.3666,General,735241,Lok Sabha Bypoll (National)
2008,Andhra Pradesh,Hanamkonda,38,Boianapalli Vinod Kumar,Male,Telangana Rashtra Samithi,Car,1256358,55264,0.4109,General,767414,Lok Sabha Bypoll (National)
2008,Andhra Pradesh,Warangal,39,Errabelli Dayakar Rao,Male,Telugu Desam Party,Bicycle,1247939,4386,0.3406,General,843499,Lok Sabha Bypoll (National)
2008,Andhra Pradesh,Adilabad,35,Allola Indrakaran Reddy,Male,Indian National Congress,Hand,1154367,25970,0.3412,General,811465,Lok Sabha Bypoll (National)
2011,Andhra Pradesh,Kadapa,38,Y.S. JAGAN MOHAN REDDY,Male,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1329626,545672,0.6715,General,1030978,Lok Sabha Bypoll (National)
2021,Andhra Pradesh,Tirupathi,23,MADDILA GURUMOORTHY,Male,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1711195,271592,0.5748,Scheduled Caste,1105468,Lok Sabha Bypoll (National)
1996,Andhra Pradesh,Harishchandrapuram,4,Atchannaidu Kinjarapu,Male,Telugu Desam Party,Bicycle,140536,32206,0.6176,General,103285,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Pathapatnam,6,Lakshmi Parvathi N.,Female,Telugu Desam Party (Lakshmi Parvathi),Lion,126691,14148,0.4899,General,90187,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Narasipatnam,36,Ch. Ayyanna Patrudu,Male,Telugu Desam Party,Bicycle,134812,18452,0.521,General,115170,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Mummidivaram,53,G.M.C. Balayogi,Male,Telugu Desam Party,Bicycle,128450,12341,0.498,Scheduled Caste,92114,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Nagaram,57,K. S. R. Murthy,Male,Indian National Congress,Hand,121440,5612,0.453,General,85412,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Narasapur,59,Kothapalli Janakiram,Male,Telugu Desam Party,Bicycle,158343,5677,0.5051,General,119576,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Punganur,143,N. Amaranatha Reddy,Male,Telugu Desam Party,Bicycle,152410,22401,0.554,General,115420,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Hindupur,164,Nandamuri Harikrishna,Male,Telugu Desam Party,Bicycle,182243,58210,0.72,General,119447,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Penukonda,166,Paritala Ravindra,Male,Telugu Desam Party,Bicycle,161165,60010,0.7713,General,110691,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Dhone,181,K.E. Prabhakar,Male,Telugu Desam Party,Bicycle,148650,15302,0.512,General,102415,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Jadcherla,192,M. Chandra Sekhar,Male,Telugu Desam Party,Bicycle,163515,47735,0.6846,General,114670,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Kodangal,200,G. Gurunath Reddy,Male,Telugu Desam Party,Bicycle,155420,12411,0.489,General,98450,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Nirmal,240,S. Venugopala Chary,Male,Telugu Desam Party,Bicycle,142310,14203,0.542,General,108640,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Jagtial,256,L. Ramana,Male,Telugu Desam Party,Bicycle,151240,18342,0.531,General,99410,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Mulug,273,Ajmeera Chandulal,Male,Telugu Desam Party,Bicycle,138420,10211,0.474,Scheduled Tribe,103142,Vidhan Sabha Bypoll (State)
1996,Andhra Pradesh,Sujanagar,281,B. Venkateswara Rao,Male,Communist Party of India (Marxist),Sickle & Hammer,144560,8452,0.442,General,92140,Vidhan Sabha Bypoll (State)
1997,Andhra Pradesh,Darsi,121,Narapusetty Papa Rao,Male,Telugu Desam Party,Bicycle,190940,8401,0.5253,General,122683,Vidhan Sabha Bypoll (State)
1997,Andhra Pradesh,Allagadda,183,Bhuma Shobha Rani,Female,Telugu Desam Party,Bicycle,170560,47161,0.7181,General,106571,Vidhan Sabha Bypoll (State)
1998,Andhra Pradesh,Hanamkonda (LS),270,Dr. P. V. Ranga Rao,Male,Indian National Congress,Hand,230400,2960,0.356,General,133948,Vidhan Sabha Bypoll (State)
1998,Andhra Pradesh,Madhira (LA),278,Katta Venkatanarasaiah,Male,Communist Party of India (Marxist),Hammer & Sickle,180883,4020,0.3508,General,144008,Vidhan Sabha Bypoll (State)
1998,Andhra Pradesh,Mummidivaram,43,Chelli Vivekananda,Male,Telugu Desam Party,Bicycle,134965,17778,0.6073,Scheduled Caste,82094,Vidhan Sabha Bypoll (State)
1998,Andhra Pradesh,Attili,66,Dandu Sivarama Raju,Male,Telugu Desam Party,Bicycle,140109,45566,0.7051,General,98414,Vidhan Sabha Bypoll (State)
1998,Andhra Pradesh,Andole,229,P. Babu Mohan,Male,Telugu Desam Party,Bicycle,139947,10554,0.5469,Scheduled Caste,100497,Vidhan Sabha Bypoll (State)
1998,Andhra Pradesh,Metpalli,258,Komi Reddy Jyothi Devi,Female,Indian National Congress,Hand,162693,3885,0.3452,General,100210,Vidhan Sabha Bypoll (State)
2000,Andhra Pradesh,Gudivada,85,Raavi Venkateswara Rao,Male,Telugu Desam Party,Bicycle,168159,31997,0.65,General,96315,Vidhan Sabha Bypoll (State)
2000,Andhra Pradesh,Chevella,204,Patlolla Sabitha,Female,Indian National Congress,Hand,208250,29909,0.5868,General,143912,Vidhan Sabha Bypoll (State)
