YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
1962,Bihar,Bagaha,56,Kamal Nath Tewari,Male,Indian National Congress,Hand,385005,188598,49.00%,GEN,188652,Lok Sabha (National)
1962,Bihar,Motihari,57,Bibhuti Mishra,Male,Indian National Congress,Hand,379579,182534,48.10%,SC,182577,Lok Sabha (National)
1962,Bihar,Bettiah,58,Bhola Raut,Male,Indian National Congress,Hand,380043,145637,38.30%,SC,145556,Lok Sabha (National)
1962,Bihar,Gopalganj,59,Dwaika Nath Tiwari,Male,Indian National Congress,Hand,422101,204989,48.60%,GEN,205141,Lok Sabha (National)
1962,Bihar,Siwan,60,Md. Yusuf,Male,Indian National Congress,Hand,424260,199078,46.90%,GEN,198977,Lok Sabha (National)
1962,Bihar,Chapra,61,Ramsekhar Prasad Singh,Male,Indian National Congress,Hand,459344,228117,49.70%,GEN,228293,Lok Sabha (National)
1962,Bihar,Maharajganj,62,Krishnakanta Singh,Male,Indian National Congress,Hand,401654,170942,42.60%,GEN,171104,Lok Sabha (National)
1962,Bihar,Kesaria,63,Bhishma Prasad Yadava,Male,Indian National Congress,Hand,389402,171090,43.90%,GEN,170947,Lok Sabha (National)
1962,Bihar,Hajipur,64,Rajeshwar Patel,Male,Indian National Congress,Hand,421299,259738,61.70%,GEN,259941,Lok Sabha (National)
1962,Bihar,Mahua,65,Chandramani Lal Choudhary,Male,Indian National Congress,Hand,447690,221987,49.60%,SC,222054,Lok Sabha (National)
1962,Bihar,Muzaffarpur,66,Digvijoy Narain Singh,Male,Indian National Congress,Hand,464546,224877,48.40%,GEN,224840,Lok Sabha (National)
1962,Bihar,Sitamarhi,67,Nagindra Pd. Yadab,Male,Indian National Congress,Hand,455960,249150,54.60%,GEN,248954,Lok Sabha (National)
